Date,Close_price,Volume,Change_pct,EMA_9,EMA_55,Threshold_EMA9,Threshold_EMA55,EMA55_Signal,EMA9_Signal,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACD_Momentum,MACD_Signals,previous_MACD_Momentum,RSI,RSI_Signals
2020-11-02,88.86,4240000.0,-0.0489,88.86,88.86,0.0,0.0,0.0,0.0,,,,,,,,
2020-11-03,91.19,3190000.0,0.0262,89.32600000000001,88.94321428571429,0.020440837811163397,0.024638509861670217,2.0,3.0,,,,,,,,
2020-11-04,92.03,3190000.0,0.0092,89.86680000000001,89.05345663265307,0.023505378680864816,0.03234318556282663,2.0,3.0,,,,,,,,
2020-11-05,95.49,4059999.9999999995,0.037599999999999995,90.99144000000001,89.28333318148688,0.047110273327049784,0.06499808166837484,0.0,0.0,,,,,,,,
2020-11-06,94.53,1920000.0,-0.0101,91.69915200000001,89.47071413929092,0.02994655664868284,0.05352042590404191,1.0,2.0,,,,,,,,
2020-11-09,93.96,840680.0,-0.006,92.15132160000002,89.63104577717338,0.01924945083014024,0.046072309736341105,1.0,3.0,,,,,,,,
2020-11-10,97.75,6610000.0,0.0403,93.27105728000001,89.92100842798862,0.04582038588235286,0.08009198539142072,0.0,0.0,,,,,,,,
2020-11-11,101.5,5110000.0,0.0384,94.916845824,90.33454384127475,0.06485866183251225,0.110004494174633,0.0,0.0,,,,,,,,
2020-11-12,98.58,2140000.0,-0.0288,95.64947665920002,90.62902441837208,0.029727361947656517,0.08065505763469177,0.0,2.0,,,,,,,,
2020-11-13,96.72,695850.0,-0.0189,95.86358132736001,90.84655926057309,0.008854618203473838,0.060726227661568564,0.0,3.0,,,,,,,,
2020-11-16,95.4,1260000.0,-0.013600000000000001,95.770865061888,91.00918214412405,-0.0038874744432704105,0.046025344401215425,1.0,-3.0,,,,,,,,
2020-11-17,95.04,3720000.0,-0.0038,95.6246920495104,91.15313992469106,-0.006152062810504992,0.040897096751988056,1.0,-3.0,,,,,,,,
2020-11-18,94.49,742230.0,-0.0058,95.39775363960833,91.27231349880924,-0.009606875220746432,0.0340531961180099,2.0,-3.0,,,,,,,,
2020-11-19,93.7,779660.0,-0.0084,95.05820291168666,91.3590165881375,-0.014495228513198087,0.024983814427561472,2.0,-3.0,,,,,,,60.29787234042554,0.0
2020-11-20,93.64,1030000.0,-0.0006,94.77456232934932,91.4404802814183,-0.012116214538117492,0.023489104213815653,2.0,-3.0,,,,,,,60.144312393887944,0.0
2020-11-23,92.75,1990000.0,-0.0095,94.36964986347945,91.48724884279622,-0.01746253222080272,0.013614567732655314,3.0,-3.0,,,,,,,53.52622061482822,0.0
2020-11-24,93.82,2040000.0,0.0115,94.25971989078356,91.57056138412493,-0.004686845990018807,0.02397610974072761,2.0,-3.0,,,,,,,54.004474272930636,0.0
2020-11-25,99.97,7660000.0,0.06559999999999999,95.40177591262685,91.87054133469191,0.045695949658629116,0.08101889232077715,0.0,0.0,,,,,,,58.94568690095847,0.0
